,nconst,primaryName,category
0,nm0000092,John Cleese,actor
1,nm0000136,Johnny Depp,actor
2,nm0000151,Morgan Freeman,actor
3,nm0000160,Ethan Hawke,actor
4,nm0000218,Kristin Scott Thomas,actress
7,nm0000241,Jean-Claude Van Damme,actor
9,nm0000254,Isabelle Adjani,actress
14,nm0000272,Fanny Ardant,actress
23,nm0000300,Juliette Binoche,actress
31,nm0000322,Emmanuelle Béart,actress
36,nm0000342,James Cromwell,actor
37,nm0000365,Julie Delpy,actress
39,nm0000366,Catherine Deneuve,actress
52,nm0000367,Gérard Depardieu,actor
78,nm0000404,Jane Fonda,actress
79,nm0000420,Valeria Golino,actress
82,nm0000422,John Goodman,actor
83,nm0000483,Christopher Lambert,actor
87,nm0000499,Bai Ling,actress
88,nm0000518,John Malkovich,actor
90,nm0000521,Sophie Marceau,actress
97,nm0000606,Jean Reno,actor
108,nm0000618,Isabella Rossellini,actress
109,nm0000654,Terence Stamp,actor
110,nm0000721,Victoria Abril,actress
116,nm0000767,Jean-Hugues Anglade,actor
123,nm0000804,Stéphane Audran,actress
124,nm0000809,Daniel Auteuil,actor
145,nm0000852,Jean-Marc Barr,actor
147,nm0000882,Nathalie Baye,actress
156,nm0000899,Monica Bellucci,actress
158,nm0000901,Jean-Paul Belmondo,actor
160,nm0000945,Jane Birkin,actress
164,nm0000962,Carole Bouquet,actress
172,nm0000991,Geneviève Bujold,actress
174,nm0001012,Claudia Cardinale,actress
175,nm0001036,Geraldine Chaplin,actress
176,nm0001075,Peter Coyote,actor
178,nm0001095,Béatrice Dalle,actress
180,nm0001128,Alain Delon,actor
181,nm0001163,Roy Dupuis,actor
184,nm0001250,Charlotte Gainsbourg,actress
193,nm0001376,Isabelle Huppert,actress
206,nm0001393,Irène Jacob,actress
208,nm0001409,Tchéky Karyo,actor
212,nm0001437,Emir Kusturica,actor
214,nm0001461,Virginie Ledoyen,actress
220,nm0001560,Ornella Muti,actress
221,nm0001594,Anne Parillaud,actress
223,nm0001641,Vincent Perez,actor
230,nm0001648,Charlotte Rampling,actress
234,nm0001725,Omar Sharif,actor
235,nm0001929,Josiane Balasko,actress
262,nm0001943,Marisa Berenson,actress
263,nm0001960,Romane Bohringer,actress
269,nm0001965,Élodie Bouchez,actress
276,nm0001993,Vincent Cassel,actor
283,nm0002010,Christian Clavier,actor
308,nm0002076,Jason Flemyng,actor
310,nm0002100,Marie Gillain,actress
316,nm0002105,Judith Godrèche,actress
321,nm0002776,Johnny Hallyday,actor
323,nm0003133,Jean-Christophe Bouvet,actor
325,nm0003508,Michel Blanc,actor
342,nm0003909,Michael Lonsdale,actor
346,nm0004133,Aure Atika,actress
357,nm0004248,Georges Corraface,actor
358,nm0004380,Antoine de Caunes,actor
361,nm0004381,Emma de Caunes,actress
363,nm0004825,Emmanuelle Chriqui,actress
364,nm0004851,Penélope Cruz,actress
365,nm0005023,Djimon Hounsou,actor
366,nm0005599,Jérémie Elkaïm,actor
372,nm0006620,Jean-Pierre Mocky,actor
374,nm0006939,Richard Berry,actor
386,nm0007069,Pierre Richard,actor
399,nm0007183,Ian Richardson,actor
400,nm0007814,Hiam Abbass,actress
402,nm0008084,Carol Abboud,actress
403,nm0008404,Yaël Abecassis,actress
404,nm0008442,Dominique Abel,actor
406,nm0008506,Lionel Abelanski,actor
416,nm0008787,Simon Abkarian,actor
421,nm0008865,Emile Abossolo M'bo,actor
422,nm0009629,Stefano Accorsi,actor
423,nm0009636,Thomas Acda,actor
424,nm0010562,Marie-Christine Adam,actress
425,nm0011612,Karim Adda,actor
426,nm0012239,Sarah Adler,actress
427,nm0013247,Sid Ahmed Agoumi,actor
428,nm0013841,Pegah Ahangarani,actress
429,nm0014133,Paul Ahmarani,actor
430,nm0014844,Yasit Ait Hamoudi,actor
431,nm0015501,Agnès Akopian,actress
432,nm0015961,Bernard Alane,actor
434,nm0016054,Nadine Alari,actress
436,nm0020218,Benoît Allemane,actor
437,nm0021835,Joaquim de Almeida,actor
438,nm0023348,Anne Alvaro,actress
442,nm0023663,Karen Alyx,actress
443,nm0023703,Christophe Alévêque,actor
445,nm0023832,Mathieu Amalric,actor
