tconst,ordering,actor_id,category,job,character_played
tt0163141,2,nm0252979,actor,\N,"[""Vincent""]"
tt0181548,1,nm0305296,actor,\N,"[""Charlie Soeur""]"
tt0181548,2,nm0687914,actor,\N,"[""Jacques Soeur""]"
tt0181548,3,nm0077449,actor,\N,"[""Francis France""]"
tt0181548,4,nm0046347,actor,\N,"[""Blaise""]"
tt0183869,1,nm0618651,actor,\N,"[""Daniel Morales""]"
tt0183869,2,nm0225899,actor,\N,"[""Émilien Coutant-Kerbalec""]"
tt0195119,10,nm1569770,actor,\N,"[""Le père""]"
tt0195119,1,nm0244151,actor,\N,"[""Rémi""]"
tt0195119,2,nm0796316,actor,\N,"[""Abel""]"
tt0195119,4,nm0229073,actor,\N,"[""Fabe""]"
tt0211387,1,nm0320808,actor,\N,"[""Léopold""]"
tt0211387,2,nm0956026,actor,\N,"[""Franz""]"
tt0211900,1,nm0034079,actor,\N,"[""Pierre Arditi""]"
tt0211900,3,nm0000901,actor,\N,"[""Jean-Paul Belmondo""]"
tt0211900,4,nm0075710,actor,\N,"[""François Nègre""]"
tt0214289,1,nm0025857,actor,\N,"[""Eddie Vuibert""]"
tt0214289,2,nm0305296,actor,\N,"[""Serge Benamou""]"
tt0214289,3,nm0813219,actor,\N,"[""Yvan""]"
tt0214289,4,nm0577841,actor,\N,"[""Patrick Abitbol""]"
tt0214878,1,nm0001641,actor,\N,"[""Denis Diderot""]"
tt0214878,4,nm0785664,actor,\N,"[""Le Cardinal""]"
tt0215757,1,nm0099828,actor,\N,"[""Zerph""]"
tt0215757,2,nm0132064,actor,\N,"[""Yeb""]"
tt0216522,3,nm0105317,actor,\N,"[""Vincent""]"
tt0216522,4,nm0751606,actor,\N,"[""Ronny""]"
tt0216787,2,nm0045870,actor,\N,"[""Jean-Jacques Castella""]"
tt0216787,3,nm0149260,actor,\N,"[""Bruno Deschamps""]"
tt0216800,1,nm0524217,actor,\N,"[""Michel""]"
tt0216800,2,nm0530365,actor,\N,"[""Harry Balestrero""]"
tt0216890,1,nm0000901,actor,\N,"[""Edouard""]"
tt0216890,3,nm0099084,actor,\N,"[""Jeff Benard""]"
tt0216911,1,nm0432040,actor,\N,"[""Yvon Rance""]"
tt0216983,1,nm0000767,actor,\N,"[""Alexandre""]"
tt0216983,2,nm0040939,actor,\N,"[""Hippolyte""]"
tt0217168,4,nm0201669,actor,\N,"[""Xavier""]"
tt0225410,3,nm0162950,actor,\N,"[""Bruno""]"
tt0225410,4,nm0805229,actor,\N,"[""Julien""]"
tt0226708,2,nm0001641,actor,\N,"[""Hadrien Roche""]"
tt0226708,3,nm0543547,actor,\N,"[""Le mage Bodel""]"
tt0226708,4,nm0320481,actor,\N,"[""Xavier""]"
tt0228242,1,nm0098793,actor,\N,"[""Félix""]"
tt0228242,4,nm0707466,actor,\N,"[""Daniel""]"
tt0229664,2,nm0156849,actor,\N,"[""Boy""]"
tt0229664,3,nm0058246,actor,\N,"[""Théo""]"
tt0229664,4,nm0901240,actor,\N,"[""Additional Voices""]"
tt0230098,1,nm0339621,actor,\N,"[""Alain Bauman""]"
tt0230098,4,nm0059817,actor,\N,"[""Etienne""]"
tt0233709,3,nm0034079,actor,\N,"[""Trivelin""]"
tt0233709,4,nm0023832,actor,\N,"[""Lélio""]"
tt0234663,1,nm0580720,actor,\N,"[""Fred""]"
tt0234663,3,nm0008865,actor,\N,"[""Maguette""]"
tt0234940,1,nm0603586,actor,\N,"[""Alain""]"
tt0234940,3,nm0577841,actor,\N,"[""Pascal""]"
tt0235108,2,nm0038450,actor,\N,"[""M. Moreau""]"
tt0235108,4,nm0094858,actor,\N,"[""Henri, the wanker""]"
tt0236000,2,nm0244707,actor,\N,"[""Robert""]"
tt0237106,3,nm0255362,actor,\N,"[""Jimmy""]"
tt0237106,4,nm0371891,actor,\N,"[""Philippe""]"
tt0238036,1,nm0904273,actor,\N,"[""André"",""Aunt Ida""]"
tt0238036,3,nm0509876,actor,\N,"[""Alexis""]"
tt0238036,4,nm0691819,actor,\N,"[""Jean-Pascal Faix""]"
tt0239507,4,nm0255693,actor,\N,"[""Alain""]"
tt0239695,2,nm0332709,actor,\N,"[""René""]"
tt0239695,3,nm0008506,actor,\N,"[""Roland""]"
tt0240009,1,nm0699545,actor,\N,"[""Jean Michaud""]"
tt0240009,2,nm0371891,actor,\N,"[""Antoine""]"
tt0240149,1,nm0785664,actor,\N,"[""Adrien""]"
tt0240149,3,nm0746085,actor,\N,"[""Jean""]"
tt0240149,4,nm0682692,actor,\N,"[""Gérard""]"
tt0243135,2,nm0269002,actor,\N,"[""Younès""]"
tt0243135,3,nm0767710,actor,\N,"[""Richard""]"
tt0243493,1,nm0000809,actor,\N,"[""François Pignon""]"
tt0243493,2,nm0000367,actor,\N,"[""Félix Santini""]"
tt0243493,3,nm0508293,actor,\N,"[""Guillaume""]"
tt0245530,1,nm0898317,actor,\N,"[""Jojo Braconnier""]"
tt0245530,3,nm0244707,actor,\N,"[""Maître Jacquard""]"
tt0246158,1,nm0688143,actor,\N,"[""Régis Demanet""]"
tt0246158,2,nm0239816,actor,\N,"[""Balzac""]"
tt0246158,3,nm0157255,actor,\N,"[""Patrick Sergent""]"
tt0246158,4,nm0045625,actor,\N,"[""Michel Moineau""]"
tt0246278,2,nm0432040,actor,\N,"[""Erwann Moenner - the psychotherapist""]"
tt0246278,4,nm0861862,actor,\N,"[""Sébastien 'Seb' Douglas""]"
tt0246431,2,nm0393124,actor,\N,"[""Horace"",""La voix du chauffeur de taxi""]"
tt0246431,3,nm0600180,actor,\N,"[""Freddy""]"
tt0246431,4,nm0605971,actor,\N,"[""Inspecteur Henry""]"
tt0246717,1,nm0767032,actor,\N,"[""Swan""]"
tt0246717,2,nm0064895,actor,\N,"[""Raph""]"
tt0246717,4,nm0003133,actor,\N,"[""Benz""]"
tt0246870,1,nm0508293,actor,\N,"[""Alfred de Morsac""]"
tt0246870,2,nm0863816,actor,\N,"[""Barnabé""]"
tt0246870,4,nm0075710,actor,\N,"[""Commandant Lefèvre""]"
tt0249568,10,nm0577288,actor,\N,"[""Mimich""]"
tt0249568,3,nm0054403,actor,\N,"[""Sid Ali""]"
tt0249935,2,nm0520870,actor,\N,"[""Ulysse""]"
tt0249935,3,nm0136001,actor,\N,"[""Ken""]"
tt0249935,4,nm0543547,actor,\N,"[""Salomon""]"
tt0250223,1,nm0000367,actor,\N,"[""Obélix""]"
tt0250223,2,nm0002010,actor,\N,"[""Astérix""]"
tt0250223,3,nm0213354,actor,\N,"[""Numérobis""]"
tt0250343,3,nm0745552,actor,\N,"[""Romain""]"
tt0250343,4,nm0701802,actor,\N,"[""Francis""]"
tt0252665,1,nm0688143,actor,\N,"[""Ghislain Lambert""]"
tt0252665,2,nm0305296,actor,\N,"[""Claude Lambert""]"
tt0252665,3,nm0147561,actor,\N,"[""Maurice Focodel""]"
tt0252665,4,nm0099820,actor,\N,"[""Denis""]"
tt0253225,2,nm0303826,actor,\N,"[""Pierre Cassini""]"
tt0253225,4,nm0815668,actor,\N,"[""Karim Coutard""]"
tt0254521,1,nm0687914,actor,\N,"[""Jacques Monot""]"
tt0254521,3,nm0684001,actor,\N,"[""Gaboriau""]"
tt0254521,4,nm0416091,actor,\N,"[""Benoît Monot""]"
tt0256666,1,nm0173589,actor,\N,"[""Donand""]"
tt0256666,2,nm0521924,actor,\N,"[""Jacques""]"
tt0256666,3,nm1063011,actor,\N,"[""Louis""]"
tt0256666,4,nm1062188,actor,\N,"[""Marc""]"
tt0257434,1,nm0000852,actor,\N,"[""Jack Lesterhoof""]"
tt0257434,2,nm0244151,actor,\N,"[""Maxime Lecocq""]"
tt0259060,1,nm0431956,actor,\N,"[""Eric""]"
tt0259060,2,nm0066080,actor,\N,"[""Ramzy""]"
tt0259060,4,nm0722657,actor,\N,"[""De Fursac""]"
tt0259289,2,nm0347492,actor,\N,"[""Djema Gaouda Lon""]"
tt0259289,3,nm0431161,actor,\N,"[""Pool Oxanosas Daï""]"
tt0259289,4,nm0878070,actor,\N,"[""Carol Izba""]"
tt0259340,1,nm0671844,actor,\N,"[""Grégoire Moulin""]"
tt0259340,4,nm0241383,actor,\N,"[""Emmanuel Lacarrière""]"
tt0260185,1,nm0746085,actor,\N,"[""Mischka""]"
tt0260185,2,nm0836681,actor,\N,"[""Gégène""]"
tt0260767,1,nm0023832,actor,\N,"[""Roland""]"
tt0260767,4,nm0729686,actor,\N,"[""Maxime""]"
tt0262429,1,nm0846548,actor,\N,"[""Tony""]"
tt0262429,3,nm0520870,actor,\N,"[""Luc""]"
tt0262429,4,nm0758912,actor,\N,"[""Rico""]"
tt0262826,1,nm0894142,actor,\N,"[""Thomas Thomas""]"
tt0265116,1,nm0512071,actor,\N,"[""Paul""]"
tt0266013,2,nm0226386,actor,\N,"[""Le mage Alban""]"
tt0266013,4,nm0371891,actor,\N,"[""Michel""]"
tt0266849,1,nm0243355,actor,\N,"[""Jean""]"
tt0266849,3,nm0488228,actor,\N,"[""Georges""]"
tt0266849,4,nm0099521,actor,\N,"[""Eddy""]"
tt0268211,3,nm0767061,actor,\N,"[""Alex""]"
tt0268211,4,nm0165398,actor,\N,"[""François, the student""]"
