,tconst,originalTitle,startYear,runtimeMinutes,genres_x,adult,overview,production_countries,production_companies_name,production_companies_country,averageRating,numVotes,directors,writers
0,tt0163141,La parenthèse enchantée,2000,88.0,"Comedy,Romance",False,"Summer 1969 on the Mediterranean coast. Paul and Vincent are childhood buddies. On a beach one day, they meet Alice and her friend Eve. After a series of memorable adventures, couples fall into place but not quite in the right order. Alice blossoms elsewhere, Paul marries Eve and Vincent weds Marie. The 70s are in full swing. Thanks to the pill, women's lives change radically, sexology is in, feminists's voices can be heard loud and clear but unrestricted and free access to abortion has yet to be attained. Against the backtop of a decade marked by sexual liberation, these three girls and two boys will cross each other's paths, love one another, split up and reunite.",['FR'],"['CNC', 'Canal+']",,5.9,347,nm0818996,nm0818996
1,tt0181548,Les frères Soeur,2000,95.0,Comedy,False,"The Soeur brothers would like to work in the film making business. They wrote a complex story that doesn't make any sense, and nobody wants to produce it. They're willing to do anything in order to make their film come to life.",['FR'],[],[],4.3,99,nm0418621,"nm0046347,nm0418621,nm0736676"
2,tt0183869,Taxi 2,2000,88.0,"Action,Comedy,Crime",False,A cabdriver and a cop race to Paris to rescue a love interest and the Japanese minister of defense from kidnappers.,['FR'],"['ARP Sélection', 'TF1 Films Production', 'Canal+', 'Leeloo Productions', 'EuropaCorp']","['FR', 'FR', 'FR', '', 'FR']",6.5,58233,nm0470443,nm0000108
3,tt0195119,Osmose,2003,75.0,"Comedy,Drama,Romance",False,"Abel awash in his conquests phone numbers, Remi raises metaphysical questions about his look, Lucia movie fan obscure authors while its Fab him is he loves boxing. Between party, laundromat and small cafe in the sun chronicle their friendship and their complicity.",['FR'],[],,6.0,96,nm0270830,nm0270830
4,tt0211387,Gouttes d'eau sur pierres brûlantes,2000,82.0,"Comedy,Drama,Romance",False,"In 1970s Germany, Leopold, a 50-year-old businessman, picks up and seduces 20-year old Franz, who swiftly moves into his bachelor pad. Their cozy relationship soon sours as Leopold turns cranky and argumentative. When Franz's buxom blond girlfriend surfaces, and then Leopold's elegant and enigmatic ex, things get funnier, steamier and a lot more complicated.",['FR'],"['Studio Images 6', 'Fidélité Productions', 'Les Films Alain Sarde', 'Eurospace']","['', 'FR', 'FR', 'JP']",6.7,6821,nm0654830,"nm0001202,nm0654830"
5,tt0211900,Les acteurs,2000,103.0,Comedy,False,"Les Acteurs is the absurd story of Jean-Pierre Marielle desperately waiting for a cup of hot water, the story of a conspiracy against actors, the story of aging actors whose careers are slowly less active than they used to be, but a stunning tribute to French actors and their cinema.",['FR'],[],,5.9,1279,nm0088397,nm0088397
6,tt0214289,La vérité si je mens! 2,2001,105.0,Comedy,False,"Eddie, Dov, and Yvan are back, still working in Paris' Sentier textile district, This time they're confronting the high-stakes world of large distribution after striking a deal with Eurodiscount, a European hypermarket chain.",['FR'],"['TPS Cinéma', 'Télégraphe', 'TF1 Films Production', 'Vertigo Productions', 'M6 Films']",,6.3,3680,nm0319624,"nm0084580,nm0613351"
7,tt0214878,Le libertin,2000,100.0,"Comedy,History",False,French philosopher Denis Diderot produces the first encyclopedia while indulging in 18th-century decadence.,['FR'],"['TF1 Films Production', 'Bel Ombre Films', 'Josy Films', 'Mosca Films', 'Sans Contrefaçon Productions']",,6.3,1797,nm0013041,"nm0013041,nm0773418"
8,tt0215757,L'extraterrestre,2000,93.0,"Comedy,Romance,Sci-Fi",False,"Chased by two androids programmed to kill him, Zerph puts down his flying saucer in Auvergne while waiting for help.",['FR'],['TF1 Films Production'],,3.5,567,nm0099828,"nm0016836,nm0099828"
9,tt0216522,Deuxième vie,2000,100.0,"Comedy,Fantasy",False,"Vansan is 30 years old, but he never learned to make decisions. Whatever it is. Should he marry his girlfriend, should he start a business with his friend, what color should he buy shoes for? Life for him is an eternal dilemma.  But one day, fate made a choice for him. Vansan crashes into an advertising post by car and makes a leap in time for 16 years in advance.  Now at about forty, he heads a large corporation, is married to a woman with whom he is barely familiar, has a teenage son who is constantly bold to him, and an early-ripened daughter. And he has absolutely no idea what to do with all this.  Realizing that he has become everything that he always despised, Vansan is desperate to go back and make the right choice. But can he turn back the clock? ..",['FR'],[],,5.1,247,nm0105317,"nm0105317,nm0657929"
10,tt0216787,Le goût des autres,2000,112.0,"Comedy,Drama,Romance",False,"Unpolished and ultra-pragmatic industrialist Jean-Jacques Castella reluctantly attends Racine's tragedy ""Berenice"" in order to see his niece play a bit part. He is taken with the play's strangely familiar-looking leading lady Clara Devaux. During the course of the show, Castella soon remembers that he once hired and then promptly fired the actress as an English language tutor. He immediately goes out and signs up for language lessons. Thinking that he is nothing but an ill-tempered philistine with bad taste, Clara rejects him until Castella charms her off her feet.",['FR'],"['Les Films A4', 'France 2 Cinéma', 'Canal+']","['FR', 'FR', 'FR']",7.2,10245,nm0418450,"nm0045870,nm0418450"
11,tt0216800,"Harry, un ami qui vous veut du bien",2000,117.0,"Comedy,Drama,Mystery",False,"Harry knew Michel in high school; they meet again by accident, Harry inserts himself in Michel's life... and things take a sinister turn.",['FR'],"['La Sofica Sofinergie 5', 'Diaphana Films', 'MG Films', 'M6 Films', 'Canal+', 'CNC']",,7.1,11823,nm0596962,"nm0596962,nm0545382,nm0996047"
