,tconst,nconst,primaryName
0,tt0163141,nm0818996,Michel Spinosa
1,tt0181548,nm0418621,Frédéric Jardin
2,tt0305395,nm0418621,Frédéric Jardin
3,tt0183869,nm0470443,Gérard Krawczyk
4,tt0281364,nm0470443,Gérard Krawczyk
5,tt0295721,nm0470443,Gérard Krawczyk
6,tt0305568,nm0470443,Gérard Krawczyk
7,tt0429227,nm0470443,Gérard Krawczyk
8,tt0804540,nm0470443,Gérard Krawczyk
9,tt0880440,nm0470443,Gérard Krawczyk
10,tt0195119,nm0270830,Raphael Fejtö
11,tt0211387,nm0654830,François Ozon
12,tt0283832,nm0654830,François Ozon
13,tt1521848,nm0654830,François Ozon
14,tt20330434,nm0654830,François Ozon
15,tt3184934,nm0654830,François Ozon
16,tt0211900,nm0088397,Bertrand Blier
17,tt0293672,nm0088397,Bertrand Blier
18,tt0420555,nm0088397,Bertrand Blier
19,tt1517214,nm0088397,Bertrand Blier
20,tt7664096,nm0088397,Bertrand Blier
21,tt0214289,nm0319624,Thomas Gilou
22,tt12847680,nm0319624,Thomas Gilou
23,tt1285228,nm0319624,Thomas Gilou
24,tt1794850,nm0319624,Thomas Gilou
25,tt0214878,nm0013041,Gabriel Aghion
26,tt0271945,nm0013041,Gabriel Aghion
27,tt0395721,nm0013041,Gabriel Aghion
28,tt0215757,nm0099828,Didier Bourdon
29,tt0286009,nm0099828,Didier Bourdon
30,tt0339525,nm0099828,Didier Bourdon
31,tt0498116,nm0099828,Didier Bourdon
32,tt1454607,nm0099828,Didier Bourdon
33,tt3092076,nm0099828,Didier Bourdon
34,tt0216522,nm0105317,Patrick Braoudé
35,tt0216787,nm0418450,Agnès Jaoui
36,tt0374583,nm0418450,Agnès Jaoui
37,tt1065332,nm0418450,Agnès Jaoui
38,tt2241691,nm0418450,Agnès Jaoui
39,tt6972372,nm0418450,Agnès Jaoui
40,tt0216800,nm0596962,Dominik Moll
41,tt5038358,nm0596962,Dominik Moll
42,tt0216890,nm0003606,Philippe de Broca
43,tt0216911,nm0432040,Gérard Jugnot
44,tt0291400,nm0432040,Gérard Jugnot
45,tt0423877,nm0432040,Gérard Jugnot
46,tt13321782,nm0432040,Gérard Jugnot
47,tt1463450,nm0432040,Gérard Jugnot
48,tt6063866,nm0432040,Gérard Jugnot
49,tt0216983,nm0418619,Alexandre Jardin
50,tt0217168,nm0479738,Jeanne Labrune
51,tt0302382,nm0479738,Jeanne Labrune
52,tt0383966,nm0479738,Jeanne Labrune
53,tt1590157,nm0479738,Jeanne Labrune
54,tt0225410,nm0244691,Laurent Dussaux
55,tt0226708,nm0547456,Harriet Marin
56,tt0228242,nm0239725,Olivier Ducastel
57,tt0304363,nm0239725,Olivier Ducastel
58,tt0428430,nm0239725,Olivier Ducastel
59,tt0228242,nm0553303,Jacques Martineau
60,tt0304363,nm0553303,Jacques Martineau
61,tt0428430,nm0553303,Jacques Martineau
62,tt0229664,nm0643664,Michel Ocelot
63,tt0230098,nm0243666,Ilan Duran Cohen
64,tt0427662,nm0243666,Ilan Duran Cohen
65,tt1105739,nm0243666,Ilan Duran Cohen
66,tt0230921,nm0888720,Chris Vander Stappen
67,tt0233709,nm0415245,Benoît Jacquot
68,tt0234663,nm0109885,Jean-Claude Brisseau
69,tt0287963,nm0109885,Jean-Claude Brisseau
70,tt5509412,nm0109885,Jean-Claude Brisseau
71,tt0234940,nm0069711,Lucas Belvaux
72,tt0235108,nm0350168,Robert Guédiguian
73,tt1852006,nm0350168,Robert Guédiguian
74,tt3744684,nm0350168,Robert Guédiguian
75,tt7219324,nm0350168,Robert Guédiguian
76,tt0236000,nm0277230,Sophie Fillières
77,tt0434969,nm0277230,Sophie Fillières
78,tt1259604,nm0277230,Sophie Fillières
79,tt3202374,nm0277230,Sophie Fillières
80,tt6690176,nm0277230,Sophie Fillières
81,tt0237106,nm0039903,Eric Assous
82,tt0318806,nm0039903,Eric Assous
83,tt0238036,nm0799110,Emmanuel Silvestre
84,tt0238036,nm0821539,Thibault Staib
85,tt0239507,nm0083752,Anne-Sophie Birot
86,tt0239695,nm0801533,Jean-Pierre Sinapi
87,tt0428293,nm0801533,Jean-Pierre Sinapi
88,tt0240009,nm0494569,Eric Le Roch
89,tt1309463,nm0494569,Eric Le Roch
90,tt0240149,nm0137228,Christian Carion
91,tt0243135,nm0278705,Laurent Firode
92,tt18816170,nm0278705,Laurent Firode
93,tt0243493,nm0891554,Francis Veber
94,tt0310203,nm0891554,Francis Veber
95,tt0449851,nm0891554,Francis Veber
96,tt1182924,nm0891554,Francis Veber
97,tt0245530,nm0065449,Jean Becker
98,tt0825244,nm0065449,Jean Becker
99,tt1455151,nm0065449,Jean Becker
100,tt3399054,nm0065449,Jean Becker
101,tt0246158,nm0581170,Christian Merret-Palmair
102,tt1998245,nm0581170,Christian Merret-Palmair
103,tt0246278,nm0491774,Yves Lavandier
104,tt0246431,nm0529591,Pascal Légitimus
105,tt3092076,nm0529591,Pascal Légitimus
106,tt0246717,nm0190988,Nicolas Cuche
107,tt13079150,nm0190988,Nicolas Cuche
108,tt1667100,nm0190988,Nicolas Cuche
109,tt2442502,nm0190988,Nicolas Cuche
110,tt0246870,nm0006734,Alain Corneau
111,tt0318725,nm0006734,Alain Corneau
112,tt0249568,nm0596347,Nadir Moknèche
113,tt0249935,nm0879406,Muriel Téodori
114,tt0250223,nm0149260,Alain Chabat
115,tt0357111,nm0149260,Alain Chabat
116,tt1723642,nm0149260,Alain Chabat
117,tt7018010,nm0149260,Alain Chabat
118,tt0250343,nm0156152,Jean-Julien Chervier
119,tt0250343,nm0643130,Agnès Obadia
120,tt1388912,nm0643130,Agnès Obadia
121,tt2430044,nm0643130,Agnès Obadia
122,tt0252665,nm0362854,Philippe Harel
123,tt0400897,nm0362854,Philippe Harel
124,tt0991350,nm0362854,Philippe Harel
125,tt0253225,nm0513371,Philippe Lioret
126,tt0273772,nm0513371,Philippe Lioret
127,tt0254521,nm0687913,Bruno Podalydès
128,tt0356922,nm0687913,Bruno Podalydès
129,tt0385933,nm0687913,Bruno Podalydès
130,tt0401711,nm0687913,Bruno Podalydès
131,tt1156505,nm0687913,Bruno Podalydès
132,tt12078024,nm0687913,Bruno Podalydès
133,tt2399495,nm0687913,Bruno Podalydès
134,tt24799686,nm0687913,Bruno Podalydès
135,tt4163644,nm0687913,Bruno Podalydès
136,tt7217128,nm0687913,Bruno Podalydès
137,tt0256666,nm0347492,Alain Guiraudie
138,tt0259289,nm0347492,Alain Guiraudie
139,tt0339553,nm0347492,Alain Guiraudie
140,tt0429231,nm0347492,Alain Guiraudie
141,tt11669538,nm0347492,Alain Guiraudie
142,tt1354564,nm0347492,Alain Guiraudie
143,tt5231812,nm0347492,Alain Guiraudie
144,tt0257434,nm0000852,Jean-Marc Barr
145,tt1753584,nm0000852,Jean-Marc Barr
146,tt0257434,nm0036331,Pascal Arnold
147,tt1753584,nm0036331,Pascal Arnold
148,tt0259060,nm0625896,Charles Nemes
149,tt0402093,nm0625896,Charles Nemes
150,tt1353040,nm0625896,Charles Nemes
151,tt1753535,nm0625896,Charles Nemes
152,tt2644800,nm0625896,Charles Nemes
153,tt0259340,nm0671844,Artus de Penguern
154,tt1966505,nm0671844,Artus de Penguern
155,tt0260185,nm0836681,Jean-François Stévenin
156,tt0260767,nm0488623,Arnaud Larrieu
157,tt0329706,nm0488623,Arnaud Larrieu
158,tt1160027,nm0488623,Arnaud Larrieu
159,tt12591668,nm0488623,Arnaud Larrieu
160,tt4022440,nm0488623,Arnaud Larrieu
161,tt0260767,nm0488626,Jean-Marie Larrieu
162,tt0329706,nm0488626,Jean-Marie Larrieu
163,tt1160027,nm0488626,Jean-Marie Larrieu
164,tt12591668,nm0488626,Jean-Marie Larrieu
165,tt4022440,nm0488626,Jean-Marie Larrieu
166,tt0262429,nm0506576,Patrick Levy
167,tt0262826,nm0719348,Pierre-Paul Renders
168,tt0402378,nm0719348,Pierre-Paul Renders
169,tt0265116,nm0785684,Coline Serreau
170,tt0271337,nm0785684,Coline Serreau
171,tt0429052,nm0785684,Coline Serreau
172,tt0266013,nm0288559,Eric Fourniols
173,tt0266849,nm0095473,Philippe Boon
174,tt0266849,nm0104589,Laurent Brandenbourger
175,tt0268211,nm0230695,Jacques Doillon
176,tt0269105,nm0814719,Alain Soral
177,tt0269329,nm0002218,Claude Miller
178,tt0269499,nm0040939,Yvan Attal
179,tt0381270,nm0040939,Yvan Attal
180,tt10143498,nm0040939,Yvan Attal
181,tt5324800,nm0040939,Yvan Attal
182,tt6462462,nm0040939,Yvan Attal
183,tt0269771,nm0894742,Marion Vernoux
184,tt4161586,nm0894742,Marion Vernoux
185,tt8630054,nm0894742,Marion Vernoux
186,tt0271935,nm0018133,Patrick Alessandrin
187,tt0337674,nm0018133,Patrick Alessandrin
188,tt0272093,nm0054285,Thomas Bardinet
189,tt0272454,nm0006939,Richard Berry
190,tt0314390,nm0006939,Richard Berry
191,tt3913206,nm0006939,Richard Berry
192,tt0273772,nm0002174,Yves Angelo
193,tt0273772,nm0071117,Yamina Benguigui
194,tt0273772,nm0099379,Paul Boujenah
195,tt0273772,nm0181117,Catherine Corsini
196,tt0339572,nm0181117,Catherine Corsini
197,tt0792947,nm0181117,Catherine Corsini
198,tt13321730,nm0181117,Catherine Corsini
199,tt0273772,nm0216816,Emilie Deleuze
200,tt21150490,nm0216816,Emilie Deleuze
201,tt0273772,nm0243191,François Dupeyron
202,tt0329388,nm0243191,François Dupeyron
203,tt1517493,nm0243191,François Dupeyron
204,tt0273772,nm0244378,Xavier Durringer
205,tt10415020,nm0244378,Xavier Durringer
206,tt1711484,nm0244378,Xavier Durringer
207,tt0273772,nm0432369,Philippe Jullien
208,tt0273772,nm0501590,Jean-Pierre Lemouland
209,tt0273772,nm0512071,Vincent Lindon
210,tt0273772,nm0618729,Fanta Régina Nacro
211,tt0273772,nm0653366,Christophe Otzenberger
212,tt0274155,nm0154055,Étienne Chatiliez
213,tt0381104,nm0154055,Étienne Chatiliez
214,tt1068632,nm0154055,Étienne Chatiliez
215,tt2095685,nm0154055,Étienne Chatiliez
216,tt9235038,nm0154055,Étienne Chatiliez
217,tt0276837,nm0333818,Benoît Graffin
218,tt4616292,nm0333818,Benoît Graffin
219,tt0281108,nm0072354,Djamel Bensalah
220,tt0428663,nm0072354,Djamel Bensalah
221,tt1830499,nm0072354,Djamel Bensalah
222,tt7489740,nm0072354,Djamel Bensalah
223,tt0282155,nm0443592,Stéphane Kazandjian
224,tt1825889,nm0443592,Stéphane Kazandjian
225,tt6253370,nm0443592,Stéphane Kazandjian
226,tt0283422,nm0210701,Manoel de Oliveira
227,tt0973844,nm0210701,Manoel de Oliveira
228,tt0283957,nm0073322,Alain Berbérian
229,tt0380349,nm0073322,Alain Berbérian
230,tt0499435,nm0073322,Alain Berbérian
231,tt0283957,nm0004689,Frédéric Forestier
232,tt0428948,nm0004689,Frédéric Forestier
233,tt0463872,nm0004689,Frédéric Forestier
234,tt15049366,nm0004689,Frédéric Forestier
235,tt2166143,nm0004689,Frédéric Forestier
236,tt6286630,nm0004689,Frédéric Forestier
237,tt0284277,nm0409646,Otar Iosseliani
238,tt0494239,nm0409646,Otar Iosseliani
239,tt4880956,nm0409646,Otar Iosseliani
240,tt0285150,nm0197463,Philippe Dajoux
241,tt0285631,nm0703228,Florence Quentin
242,tt0443159,nm0703228,Florence Quentin
243,tt1064964,nm0703228,Florence Quentin
244,tt5972780,nm0703228,Florence Quentin
245,tt0285963,nm0464180,Amos Kollek
246,tt0285964,nm0863816,Patrick Timsit
247,tt0381008,nm0863816,Patrick Timsit
248,tt0286009,nm0132064,Bernard Campan
249,tt0819812,nm0132064,Bernard Campan
250,tt13553662,nm0132064,Bernard Campan
251,tt3092076,nm0132064,Bernard Campan
252,tt0286244,nm0158984,Sylvain Chomet
253,tt0401711,nm0158984,Sylvain Chomet
254,tt2474438,nm0158984,Sylvain Chomet
255,tt0287986,nm0047645,Pascale Bailly
256,tt0290809,nm0913966,Rémi Waterhouse
257,tt0290916,nm0003508,Michel Blanc
258,tt8763008,nm0003508,Michel Blanc
259,tt0291063,nm0099802,Emmanuel Bourdieu
260,tt0291320,nm0688585,Jean-Marie Poiré
261,tt2441982,nm0688585,Jean-Marie Poiré
262,tt0291392,nm0510816,Jean-Pierre Limosin
263,tt0291538,nm0001945,Claude Berri
264,tt0423442,nm0001945,Claude Berri
265,tt1517493,nm0001945,Claude Berri
266,tt0291542,nm0699095,Martin Provost
267,tt10441958,nm0699095,Martin Provost
268,tt0292720,nm0108447,Manon Briand
269,tt0293116,nm0860019,Danièle Thompson
270,tt0444112,nm0860019,Danièle Thompson
271,tt1193088,nm0860019,Danièle Thompson
272,tt2295750,nm0860019,Danièle Thompson
273,tt0295661,nm0469063,Fatmir Koçi
274,tt0295736,nm0648902,Fabien Onteniente
275,tt1503096,nm0648902,Fabien Onteniente
276,tt2055790,nm0648902,Fabien Onteniente
277,tt4979860,nm0648902,Fabien Onteniente
278,tt8129966,nm0648902,Fabien Onteniente
279,tt0296571,nm1062000,Jérôme Bonnell
280,tt14039392,nm1062000,Jérôme Bonnell
281,tt3817962,nm1062000,Jérôme Bonnell
282,tt0296625,nm0084619,Didier Bivel
283,tt0296686,nm1095625,Ivan Calbérac
284,tt14504294,nm1095625,Ivan Calbérac
285,tt4948452,nm1095625,Ivan Calbérac
286,tt8655574,nm1095625,Ivan Calbérac
287,tt0296775,nm0609741,Luc Moullet
288,tt0487490,nm0609741,Luc Moullet
289,tt0297314,nm1059618,Didier Tronchet
290,tt0299556,nm1077275,Julien Magnat
291,tt0299594,nm0106924,Catherine Breillat
292,tt0304678,nm0106924,Catherine Breillat
293,tt0304417,nm0346823,Valérie Guignabodet
294,tt0388242,nm0346823,Valérie Guignabodet
295,tt1520863,nm0346823,Valérie Guignabodet
296,tt0304601,nm0347473,Eric Guirado
297,tt0306040,nm0081661,Jean-Claude Biette
298,tt0306174,nm0893107,Eric Veniard
299,tt0309577,nm0009414,Moussa Sene Absa
300,tt0309872,nm0133899,Guillaume Canet
301,tt11210390,nm0133899,Guillaume Canet
302,tt0310778,nm0710919,Jean-Paul Rappeneau
303,tt3613648,nm0710919,Jean-Paul Rappeneau
304,tt0311641,nm0686927,Patricia Plattner
305,tt0314012,nm0508357,Blanca Li
306,tt0315152,nm0084580,Gérard Bitton
307,tt0464059,nm0084580,Gérard Bitton
308,tt1314240,nm0084580,Gérard Bitton
309,tt9372116,nm0084580,Gérard Bitton
310,tt0315152,nm0613351,Michel Munz
311,tt0464059,nm0613351,Michel Munz
312,tt1314240,nm0613351,Michel Munz
313,tt9372116,nm0613351,Michel Munz
314,tt0316954,nm0656584,Luc Pagès
315,tt0318032,nm0619882,Charles Najman
316,tt0318116,nm0758242,Ghassan Salhab
317,tt0318780,nm0222545,Michel Deville
318,tt0429200,nm0222545,Michel Deville
319,tt0320693,nm0332647,Romain Goupil
320,tt3533592,nm0332647,Romain Goupil
321,tt0321440,nm0657929,Francis Palluau
322,tt0322999,nm0415148,Guy Jacques
323,tt0325030,nm0116254,Valeria Bruni Tedeschi
324,tt0815092,nm0116254,Valeria Bruni Tedeschi
325,tt2234543,nm0116254,Valeria Bruni Tedeschi
326,tt0327259,nm0439748,Sam Karmann
327,tt0881343,nm0439748,Sam Karmann
328,tt0328890,nm0244967,Claude Duty
329,tt2251798,nm0244967,Claude Duty
