,tconst,genres_x
0,tt0163141,Comedy
0,tt0163141,Romance
1,tt0181548,Comedy
2,tt0183869,Action
2,tt0183869,Comedy
2,tt0183869,Crime
3,tt0195119,Comedy
3,tt0195119,Drama
3,tt0195119,Romance
4,tt0211387,Comedy
4,tt0211387,Drama
4,tt0211387,Romance
5,tt0211900,Comedy
6,tt0214289,Comedy
7,tt0214878,Comedy
7,tt0214878,History
8,tt0215757,Comedy
8,tt0215757,Romance
8,tt0215757,Sci-Fi
9,tt0216522,Comedy
9,tt0216522,Fantasy
10,tt0216787,Comedy
10,tt0216787,Drama
10,tt0216787,Romance
11,tt0216800,Comedy
11,tt0216800,Drama
11,tt0216800,Mystery
12,tt0216890,Adventure
12,tt0216890,Comedy
12,tt0216890,Romance
13,tt0216911,Comedy
14,tt0216983,Comedy
15,tt0217168,Comedy
15,tt0217168,Drama
16,tt0225410,Comedy
16,tt0225410,Drama
17,tt0226708,Comedy
17,tt0226708,Romance
18,tt0228242,Comedy
18,tt0228242,Drama
18,tt0228242,Romance
19,tt0229664,Animation
19,tt0229664,Comedy
19,tt0229664,Family
20,tt0230098,Comedy
20,tt0230098,Drama
20,tt0230098,Romance
21,tt0230921,Comedy
21,tt0230921,Drama
22,tt0233709,Comedy
22,tt0233709,Drama
23,tt0234663,Comedy
23,tt0234663,Crime
23,tt0234663,Drama
24,tt0234940,Comedy
24,tt0234940,Romance
25,tt0235108,Comedy
25,tt0235108,Drama
26,tt0236000,Comedy
27,tt0237106,Comedy
27,tt0237106,Romance
28,tt0238036,Comedy
29,tt0239507,Comedy
29,tt0239507,Drama
30,tt0239695,Comedy
30,tt0239695,Drama
31,tt0240009,Comedy
32,tt0240149,Comedy
32,tt0240149,Drama
33,tt0243135,Comedy
33,tt0243135,Drama
33,tt0243135,Romance
34,tt0243493,Comedy
35,tt0245530,Comedy
36,tt0246158,Comedy
36,tt0246158,Drama
37,tt0246278,Comedy
37,tt0246278,Drama
37,tt0246278,Family
38,tt0246431,Comedy
38,tt0246431,Crime
39,tt0246717,Comedy
39,tt0246717,Fantasy
39,tt0246717,Romance
40,tt0246870,Adventure
40,tt0246870,Comedy
41,tt0249568,Comedy
41,tt0249568,Drama
42,tt0249935,Comedy
42,tt0249935,Romance
43,tt0250223,Adventure
43,tt0250223,Comedy
43,tt0250223,Family
44,tt0250343,Comedy
45,tt0252665,Comedy
45,tt0252665,Drama
45,tt0252665,Sport
46,tt0253225,Comedy
46,tt0253225,Drama
46,tt0253225,Romance
47,tt0254521,Comedy
48,tt0256666,Comedy
48,tt0256666,Drama
49,tt0257434,Comedy
50,tt0259060,Comedy
51,tt0259289,Comedy
51,tt0259289,Drama
52,tt0259340,Comedy
52,tt0259340,Romance
53,tt0260185,Comedy
53,tt0260185,Drama
53,tt0260185,Family
54,tt0260767,Adventure
54,tt0260767,Comedy
54,tt0260767,Drama
55,tt0262429,Comedy
55,tt0262429,Sci-Fi
56,tt0262826,Comedy
56,tt0262826,Drama
56,tt0262826,Romance
57,tt0265116,Comedy
57,tt0265116,Crime
57,tt0265116,Drama
58,tt0266013,Comedy
